Actual,Predicted
11651.8,11546.605912927562
3383.7,3292.4289511007464
2969.7,3207.369408526307
2442.1,2315.314229714635
9066.5,8927.253565906309
11701.6,10434.361260941334
892.6,1033.71504845864
1242.0,1583.6407464573585
7659.9,7644.045137277712
6215.8,6468.94054887062
934.2,823.6258571534163
3177.3,2928.4285135925475
4966.4,4425.065957329143
1410.2,1495.9914253162078
7507.5,8017.600360536098
4208.3,4003.9569163808137
14365.8,14889.35452683837
10718.8,10502.698263287248
2449.3,2628.4323981798752
5763.1,7568.0136804299345
11231.0,10706.016733124352
13005.0,11753.522200016212
10375.9,10124.333647343674
696.4,848.1443493073839
4912.6,4908.624312552822
7660.9,8010.53643243119
10697.6,9732.949565978308
3077.8,2798.220081770569
7156.6,7329.741476773075
2360.3,2331.3392398857486
5034.4,5275.961561198996
4712.2,4937.12195401711
6795.1,6720.93678280178
7440.1,7238.36103240432
10409.7,10210.92508048325
1051.5,1220.2351069320885
3339.8,3011.888572221689
1361.4,1386.0250284307203
1866.3,1524.5054996515119
3225.8,2890.412422077645
1623.2,1704.458779389979
6720.5,7141.69456186308
3396.4,3923.3203529811235
3288.1,3187.800634447436
3114.9,3011.0869915945896
3518.6,3629.088794824909
11029.4,11754.087047624862
3376.8,3113.104353536919
3655.3,3768.445310333942
4459.0,4216.147346514752
927.0,1214.8811560880586
1821.5,1914.3252396423213
17099.4,18958.347548425918
7909.1,8366.644187539025
10720.2,10511.992133155343
10743.0,10365.862166129775
3491.2,3795.280768781211
12328.5,11715.611682882382
1706.8,2012.558558217026
10608.5,10489.64669417147
1150.8,1486.7088236688087
7132.1,6695.60311992527
1343.0,999.7301165979552
4306.1,3950.0522208690036
3622.9,3366.5738685008346
5278.3,6695.802440269446
10136.3,10101.805309539044
11303.8,11630.95517095041
2027.8,2070.478616958959
10500.1,10300.545748024271
5434.8,5547.935539366061
4533.2,3432.375662488699
4614.2,4321.639424247342
1368.7,1233.464184951221
9187.1,9554.79297416517
2833.0,2957.4220426935444
2215.9,2543.782298726679
3502.5,3585.146248735031
2654.5,2501.95145787782
1069.6,1126.022643273618
711.9,753.0213684544815
11561.6,11252.569412933075
6439.2,6618.436027032347
6754.9,6376.69486047912
3886.2,4031.6304766378253
393.8,804.7373866273301
1163.6,1136.2309563664985
9557.2,9926.80657059009
1635.2,1945.3920726357046
3901.0,3088.387074396838
3743.9,3602.4101051929847
1400.5,1474.7766674937538
2269.8,2216.2999688555665
1566.7,1603.8077272496394
4900.1,4711.52641127843
4697.8,4438.151724539051
3438.1,2750.5919323306025
1649.0,1857.3232523410497
3314.4,3635.5170134098244
9664.2,10104.446870908514
1370.9,1072.9877934230408
3718.9,3370.5752067312224
