Feature,Importance
humidity,15.994199609317882
soil_potassium,15.923830623521665
rainfall_mm,9.886126804751369
soil_pH,9.558414175668966
soil_type,7.399903278455438
soil_nitrogen,6.587022134347908
temperature_C,6.409340527260824
rain_temp_ratio,4.708552711069472
ph_stress,4.471302953084619
agro_zone,4.281875070328466
n_ph_inter,4.0150571323156345
climate_index,3.5441647260085323
soil_phosphorus,3.1617865475165843
soil_fertility_index,1.611410992917767
p_ph_inter,1.4134965026836124
