fold,rmse,mae,r2,mape
1,2222.554321171821,1449.6141746541407,0.7241785599862068,0.36682569183309177
2,2161.427971718228,1433.5188303063721,0.7179864669857451,0.37677270982302663
3,2146.143823897956,1431.9774783291782,0.7262296817293729,0.3616628932562592
4,2130.197324707043,1416.8886065897743,0.718211538455214,0.3691393120363748
5,2114.553053787001,1426.5540895258496,0.7303240624557328,0.38205055497700974
